,type,key,freq
8201,T,n,star,6455
156,T,n,telescope,3893
8416,T,n,earth,2112
20252,T,n,light,2054
3394,T,n,moon,1893
3387,T,n,planet,1786
1402,T,n,galaxy,1302
937,T,n,orbit,983
1,T,n,nebula,842
22105,T,n,number,821
142,T,n,astronomy,785
334,T,n,constellation,764
8461,T,n,observation,712
4319,T,n,lens,706
794,T,n,astronomer,661
20826,T,n,space,637
88,T,n,stellarium,608
8209,T,n,satellite,589
3440,T,n,comet,526
20274,T,n,datum,525
851,T,n,wavelength,521
15980,T,n,scope,519
863,T,an,solar system,511
20376,T,n,atmosphere,511
15949,T,a,apparent,493
2,T,n,kstars,479
15271,T,n,pole,461
1229,T,n,eclipse,445
20387,T,n,device,445
11,T,n,declination,441
15893,T,n,cloud,434
939,T,a,faint,421
3439,T,n,jupiter,419
13,T,n,ecliptic,416
8452,T,n,spectrum,409
675,T,n,meridian,400
2389,T,n,binoculars,390
125,T,a,equatorial,386
106,T,n,aperture,373
8440,T,n,universe,359
6,T,an,focal length,344
936,T,n,orion,333
7,T,n,skysafari,329
15966,T,n,dust,328
22,T,n,asteroid,320
8,T,a,milky,319
20338,T,n,exposure,319
277,T,n,magnification,318
202,T,n,supernova,306
20565,T,n,ring,299
9,T,n,meteor,295
678,T,n,velocity,293
2818,T,n,venus,288
926,T,n,zenith,285
72,T,n,ascension,279
1027,T,a,star,275
10,T,an,celestial sphere,272
32,T,n,hydrogen,271
2416,T,n,radius,271
86,T,n,azimuth,263
938,T,an,bright star,257
1575,T,n,saturn,252
15889,T,n,courtesy,250
3393,T,n,aberration,248
2383,T,n,crater,243
44,T,nn,star party,229
46,T,an,celestial object,223
114,T,an,variable star,209
2414,T,n,atom,209
15260,T,n,mercury,209
14,T,n,electron,204
119,T,n,refractor,203
54,T,n,neptune,202
21202,T,n,coast,201
163,T,n,equinox,200
15,T,nn,paul thomas,199
16,T,n,parallax,198
18,T,n,photon,195
20623,T,n,wave,188
19,T,n,hubble,186
20,T,nn,kstars handbook,185
1030,T,nn,deep-sky object,185
1792,T,n,nucleus,183
77,T,nn,star cluster,182
80,T,n,uranus,178
4331,T,n,light-year,178
15280,T,n,gravity,176
140,T,an,celestial pole,171
218,T,n,ephemeris,166
1382,T,an,coordinate system,166
5719,T,n,spacecraft,164
